SL NO,Real-World Example (with price / stock example),Current Way of Handling (with same example),Ideal / Real-World Needed Improvements
1,"A salon sells a haircut service for Rs 500. Services are not physical goods, so there is no stock quantity to count. The cashier taps Haircut and adds one service to the bill.","The app adds one Haircut at Rs 500 immediately. It does not ask for a stock batch, reduce stock, or block the sale. A tester should see one Rs 500 line in the cart.","No change needed. A business should be able to sell intentionally untracked services without inventory rules interfering."
2,"A shop has milk at Rs 60 each. One Branch A stock row contains 20 cartons. A customer buys 2 cartons and the cashier scans the barcode.","The app finds the one matching stock row, adds 2 milk cartons at Rs 60 each, and locally reserves 2. The row's available quantity becomes 18. The tester should see one cart line totaling Rs 120.","No change needed. This is the ordinary sufficient-stock sale and should be quick with no extra popup."
3,"A plain snack costs Rs 40 but no stock row was ever received for it. The cashier can physically see 3 snacks on the counter, and this tenant allows overselling.","The app uses the master product price of Rs 40 and adds quantity 3. There is no batch to reserve, so the local app does not invent stock or make stock negative. The order still records that 3 items were requested.","This is acceptable for sales-first shops. The backend should mark these 3 items as having no physical stock allocation for audit/reporting."
4,"A shelf item costs Rs 40 and has one matching stock row, but the system quantity is 0. The salesman is holding 2 real items and overselling is allowed.","The app keeps the zero-quantity row as the identity of the item, adds quantity 2 at Rs 40, and leaves local stock at 0. It does not reduce the row to -2. The sale can continue because the business permits stock discrepancies.","No blocking is needed for your current clients. Later, a small non-blocking 'oversold 2' badge or audit reason would help managers understand the mismatch."
5,"A strict-stock tenant has a plain product at Rs 40 with only a quantity-0 row. The cashier tries to sell 1 while ALLOW_OVERSELL is OFF.","This is a known deferred edge case: an initial plain-product add can fall back to a normal base-price line instead of being blocked. Variant products do block correctly in strict mode.","Fix this before enabling strict stock for any client. It is safe to defer now because all current clients use ALLOW_OVERSELL ON."
6,"The cashier works in Branch A. Shampoo has 8 units at Rs 55 in Branch B only, while the product's master price is Rs 60. A Branch A customer buys one shampoo.","The app does not take Branch B stock. It can add the plain product at Branch A's master price of Rs 60 because no Branch A row matched. The tester must confirm Branch B quantity remains 8.","Keep the store separation. A future warning such as 'No Branch A stock found; using master price' would make stock-sync mistakes easier to notice."
7,"Two same-price stock batches contain 4 and 6 rice bags at Rs 100 each. A customer buys 8 bags.","The cashier sees one cart line: Rice, quantity 8, Rs 100 each. Behind the scenes the app reserves 4 from the first batch and 4 from the second. It must not create two lines just because there are two batches at the same commercial price.","No change needed. Same price means one simple customer-facing line while stock allocation stays detailed internally."
8,"Two yogurt batches both sell at Rs 100. Four expire on 10 July and six expire on 20 July. The customer buys six.","The app uses the four earlier-expiring yogurts first and then two from the later batch. The cart remains one six-unit line at Rs 100. A tester should verify the earliest expiry row is consumed before the later row.","No change needed. This is FEFO: first expiry, first out."
9,"Rice has an old batch at Rs 100 and a newer batch at Rs 110. Both are available and the cashier scans one bag.","Because the selling prices differ, the app opens a batch/price chooser. The cashier chooses the actual commercial price to apply before anything is added. It must not silently choose one price or blend both into one price.","No change needed. The cashier must make the pricing decision when different batches genuinely have different selling prices."
10,"The rice price chooser opens for Rs 100 and Rs 110 batches, but the cashier taps outside it by mistake.","The app adds nothing and displays 'No batch selected - item was not added to cart.' A tester should confirm there is no hidden cart line and no stock reservation after the dismissal.","No change needed. A cancelled choice must be visible so the cashier does not think the item was billed."
11,"Two compatible stock rows sell at the same Rs 100 price. One has 10 units and the other has 5. The cashier initially asks for 20 while overselling is allowed.","The app first reserves all real stock: 10 from the first row and 5 from the second. The cart displays quantity 20 at Rs 100, but only the final 5 are a shortage. Neither stock row becomes negative.","No change needed. Real stock must always be consumed before only the true remainder is treated as oversold."
12,"The cashier initially asks for 20 items. The selected Rs 100 batch has 10, but another valid batch has 5 at Rs 110. Overselling is allowed.","Known gap: for this one-shot initial add, the app begins with the batch/price chosen by the cashier. It can oversell from the Rs 100 group instead of automatically creating a separate Rs 110 line for the other 5 available items.","A business decision is needed before changing this: either ask the cashier to approve a split price, or automatically create separate Rs 100 and Rs 110 lines. Only the final 5 should then be oversold."
13,"A customer already has 2 soap bars at Rs 50 in the cart. The selected stock group still has 8 available. The customer asks for 5 bars instead.","The app calculates that only 3 more are needed, reserves exactly 3, and updates the same cart line from 2 to 5. The line remains at Rs 50 each.","No change needed. Quantity changes should reserve only the difference, not reserve the full quantity again."
14,"A customer wants 20 units. The current cart line's Rs 100 group can provide 10, and another valid group can provide 5 at Rs 110. The cashier increases the quantity after the first line already exists.","The app consumes the remaining 10 from the Rs 100 group, creates a separate correctly-priced Rs 110 line for the available 5, and permits only the final 5 as oversold. The tester should see total quantity 20 across two price lines.","Current handling is correct. A future visual shortage label could help a cashier understand why 5 are oversold."
15,"All matching stock rows together have 15 units, but a customer requests 20 and overselling is allowed.","The app reserves all 15 physical units first. It still lets the cart reach 20, but keeps local stock at zero rather than -5. The backend receives the full requested quantity and allocation details.","No frontend block is needed. The backend should permanently record that 15 were allocated and 5 were oversold for reporting and return handling."
16,"All matching stock rows together have 15 units, but the customer asks for 20 and overselling is disabled.","The app refuses the unavailable increase. The cart remains at the previously valid quantity and the existing stock reservations do not change. A tester should verify that no partial accidental increase occurs.","No change needed for strict-stock clients, apart from the separate initial plain zero-stock issue in row 5."
17,"A saved-order restore or background flow has no dialog on screen. It needs 8 items while only 5 are locally available.","The same ALLOW_OVERSELL setting applies even without a popup. With it ON, the first 5 are reserved and the final 3 are accepted as oversold. With it OFF, the extra 3 are blocked.","No change needed. Inventory policy must be identical for visible and headless flows."
18,"A customer changes their mind: yogurt quantity goes from 3 to 2, then the cashier removes the item completely.","When quantity falls from 3 to 2, one previously reserved yogurt returns to its original stock row. When the line is removed, the remaining two reservations return too. The tester should see stock return to its starting value.","No change needed. This prevents stock from disappearing permanently after a cart edit."
