"Category","Scenario","Expected Behavior"
"Stock Management Basics","Stock enabled. Product has no stock entries at all. Cashier adds the product from billing.","System skips stock selection and sells using the product base price with no selected stock."
"Stock Management Basics","Stock enabled. Product has stock rows, but all quantities are 0. Cashier adds the product.","System treats all stock rows as unavailable and falls back to the product base price."
"Stock Management Basics","Stock enabled. Product has stock rows, but all quantities are null or negative. Cashier adds the product.","System does not treat these rows as selectable because only qty greater than 0 is available, so it falls back to base price."
"Stock Management Basics","Stock enabled. Product has some stock rows with qty greater than 0 and some with qty 0 or null. Cashier adds the product.","System only considers rows with qty greater than 0 and hides the rest from stock selection."
"Stock Management Basics","Stock enabled. Product has exactly one stock row with qty greater than 0 in the active store. Cashier adds the product.","System auto-selects that stock and adds the item directly without opening the modal."
"Stock Management Basics","Stock enabled. Product has multiple positive stock rows, but no active store id and no active store name are available. Cashier adds the product.","System considers all positive stock rows because no store filter can be applied."
"Stock Management Basics","Stock enabled. Active store id exists, and some positive stock rows match the active store id. Cashier adds the product.","System filters stock by active store id and only matching positive stock rows are considered."
"Stock Management Basics","Stock enabled. Positive stock exists, but none match the active store. Cashier adds the product in the current store.","System finds no selectable stock for the current store and falls back to product base price selling."
"Stock Management Basics","Stock enabled. Active store id exists, but stock rows match only by store name and not by store id. Cashier adds the product.","System does not fall back to store name if a store id exists; it uses strict id matching first."
"Stock Management Basics","Stock feature is disabled globally, but product stock rows still exist in data. Cashier adds the product.","System ignores stock selection and uses the product base price directly, and the billing/provider flow now keeps that stock-enabled state synced from general settings."
"Stock Management Basics","Selected stock has enough quantity for the requested cart quantity.","System deducts the requested stock quantity normally."
"Stock Management Basics","Selected stock has less quantity than requested, and cashier adds a larger quantity.","System clamps stock at 0, continues the sale, and the cart quantity can exceed actual stock deducted."
"Stock Management Basics","Item already in cart, and an additional increment would make selected stock negative.","System clamps stock at 0, still increases cart quantity, and tracks only the actual deducted amount in stockDeducted."
"Multi-Stock & Grouping","Two or more positive stock rows have the same sale price, MRP, purchase price, unit, HSN code, tax rate, wholesale price, and wholesale min unit. Cashier adds the product.","System combines these rows into one pricing group and sums their quantities."
