"Case ID","Category","Real World Example","Scenario / Preconditions","User Action","Current App Behavior","Question For PM","Suggested Default","PM Decision","Priority","Status"
"AVA-01","Availability / Fallback","Service item or handmade item","Stock enabled. Product has no stock entries at all.","Cashier adds product from billing.","System skips stock modal and sells using base product price with no selected stock.","Should stock-enabled items with no stock rows still be sellable?","Allow base-price sale and leave stock_id empty.","","High","Pending PM"
"AVA-02","Availability / Fallback","Bakery item sold out but still sellable manually","Stock enabled. Product has stock rows, but all quantities are 0.","Cashier adds product from billing.","Selectable stock list becomes empty. System falls back to base product price and sells without selected stock.","When all stock rows are 0, should sale continue on base price or be blocked?","Allow base-price sale.","","High","Pending PM"
"AVA-03","Availability / Fallback","Bad stock data import","Stock enabled. Product has stock rows, but all quantities are null or negative.","Cashier adds product from billing.","Rows are not selectable because only qty > 0 is treated as available. System falls back to base product price.","Should null or negative stock be treated the same as 0 stock, or should item be blocked for data cleanup?","Treat as unavailable stock and allow base-price sale only if business wants permissive selling.","","High","Pending PM"
"AVA-04","Availability / Fallback","Mixed stock ledger","Stock enabled. Product has some rows with qty > 0 and some rows with qty 0 or null.","Cashier adds product from billing.","Only positive-quantity rows are considered. Zero or null rows never appear for selection.","Should zero or null quantity rows stay hidden, or should cashier see them as informational rows?","Hide non-sellable rows from selection.","","Medium","Pending PM"
"AVA-05","Availability / Fallback","Single batch medicine","Stock enabled. Product has exactly one stock row with qty > 0 in the active store.","Cashier adds product from billing.","No modal is shown. Product is auto-added using that stock's price and MRP.","Is silent auto-selection correct when only one sellable stock row exists?","Yes, auto-select and add directly.","","High","Pending PM"
"AVA-06","Availability / Fallback","No store selected yet","Stock enabled. Product has multiple positive stock rows. No active store id and no active store name are available.","Cashier adds product from billing.","System does not filter by store and considers all positive stock rows.","If no store context exists, should all positive stock be considered, or should sale be blocked until store is known?","Require store context only if multi-store accuracy matters; otherwise allow all positive stock.","","Medium","Pending PM"
"AVA-07","Availability / Fallback","Multi-store inventory working normally","Stock enabled. Active store id exists. Some positive stock rows match the active store id.","Cashier adds product from billing.","System filters by active store id and only matching positive stock rows are considered.","Is strict store-id filtering the correct business rule?","Yes, use active store id as the primary filter.","","High","Pending PM"
"AVA-08","Availability / Fallback","Stock exists in another outlet only","Stock enabled. Positive stock exists, but none match the active store.","Cashier adds product from billing.","System finds no selectable stock for the active store and falls back to base product price selling.","If another store has stock but the current store does not, should current store still be allowed to sell by base price?","Usually block or warn, unless cross-store selling without stock lock is allowed.","","High","Pending PM"
"AVA-09","Availability / Fallback","Store id mismatch but store name matches","Stock enabled. Active store id exists, but stock rows match only by store name, not by store id.","Cashier adds product from billing.","Current logic uses store id first and does not fall back to name matching when an id exists.","If store id is present but mismatched due to bad data, should the system still fall back to store name matching?","Prefer strict id match for safety, but confirm if name fallback is needed for dirty data.","","Medium","Pending PM"
"AVA-10","Availability / Fallback","Stock feature turned off for simple POS mode","Stock disabled globally. Product may still have stock rows in data.","Cashier adds product from billing.","System ignores stock selection and uses product base price directly.","When stock is disabled, should stock-specific prices be ignored completely?","Yes, ignore stock rows when stock feature is off.","","High","Pending PM"
