number,details,covered,explanation
1,"Counter kitchen, pay after order",true,"Covered by ENABLE_KOT_BILL_BUTTON=true. KOT + BILL sends order, optionally auto serves using KOT_BILL_AUTO_MARK_SERVED, prints Order Summary, opens checkout for manual final confirmation."
2,"Counter kitchen, pay before kitchen",true,"Covered by existing Confirm Order / Confirm and Print flow, then KOT can be printed depending existing print/KOT settings. KOT + BILL is not required for this case."
3,"Mall/theater/food court token flow",true,"Covered by ENABLE_KOT_BILL_BUTTON=true and usually KOT_BILL_AUTO_MARK_SERVED=true. Order Summary acts as bill/token copy, final confirm remains manual."
4,"Dine-in table, waiter sends KOT only",true,"Covered by existing Send Kitchen / Send To Kitchen flow. Keep ENABLE_SEND_TO_KITCHEN_BUTTON=true. KOT + BILL can stay disabled for this store."
5,"Dine-in table, waiter prints pre-bill before payment",true,"Covered when ENABLE_KOT_BILL_BUTTON=true and KOT_BILL_ALLOWED_FOR_DINE_IN=true. Use KOT_BILL_AUTO_MARK_SERVED=false if food should not be marked served early."
6,"Dine-in table, partial items served",false,"Current KOT + BILL auto-serve marks all items served when enabled. To fully cover partial service, add per-item serve selection or only auto-serve newly sent items."
7,"Dine-in table, add-on order after first KOT",partial,"Existing order edit and Print KOT flows cover add-ons. Full coverage depends on whether KOT prints only new/pending items correctly for every add-on case."
8,"Dine-in table, split/merge table",false,"Needs dedicated split bill, move item, merge table/order workflow. Current KOT + BILL settings do not cover table split/merge."
9,"Parcel/takeaway, pay now",true,"Covered by existing counter Confirm Order / Confirm and Print flow. KOT + BILL can remain disabled or unused."
10,"Parcel/takeaway, pay later",true,"Covered by ENABLE_KOT_BILL_BUTTON=true for counter mode. Send order, print an Order Summary, final confirm manually later."
11,"Delivery order",partial,"Basic delivery method/customer data exists in checkout. Full coverage needs delivery-specific validation, address/phone/date/time enforcement, and possibly separate KOT + BILL allowance rules."
12,"Drive-through/car order",partial,"Checkout has car number support. Full coverage needs explicit drive-through delivery method rules and token/Order Summary configuration."
13,"Online/order aggregator",false,"Needs aggregator order source handling, external payment status, and kitchen print/status rules. Current KOT + BILL is for local billing counter orders."
14,"Saved draft/local offline order",partial,"Existing offline save/print flow covers offline drafts. Live KOT + BILL requires internet and does not cover offline API calls."
15,"Offline mode",partial,"Covered by existing Save & Print/offline flow, not by KOT + BILL. KOT + BILL should stay disabled offline because it calls live order APIs."
16,"Kitchen status workflow",partial,"Existing statuses and Mark Served API cover served updates. Full NEW -> STARTED/PREPARING -> READY -> SERVED automation needs more kitchen workflow controls."
17,"Kitchen-only send",true,"Covered by ENABLE_SEND_TO_KITCHEN_BUTTON=true. If ENABLE_KOT_BILL_BUTTON=false, staff only sees kitchen send."
18,"KOT + Order Summary",true,"Covered by ENABLE_KOT_BILL_BUTTON=true. Flow prints Order Summary and opens checkout without final confirmation."
19,"Order Summary from ongoing order",true,"Covered by ongoing order Pre-Bill button when ENABLE_KOT_BILL_BUTTON=true in billing counter mode. It prints Order Summary without marking served or confirming."
20,"Final confirm and print",true,"Covered by existing checkout Confirm & Print flow. KOT + BILL intentionally does not auto-confirm."
21,"Final confirm without print",true,"Covered by existing checkout Confirm flow."
22,"Reprint final bill",partial,"Existing sales/order print paths may cover this. Not part of KOT + BILL. Full coverage needs a clear reprint action from confirmed sales/orders."
23,"Double bill/customer copy",true,"Covered by existing POS_PRINT_DOUBLE_BILL/customer copy behavior in print flow."
24,"Void/cancel item before kitchen",true,"Covered by current cart remove/edit before send."
25,"Cancel item after KOT",partial,"Order item remove/update exists in ongoing order edit. Full coverage needs cancellation KOT print/audit if kitchen already received the item."
26,"Quantity/price edit after KOT",partial,"Ongoing order edit supports item changes. Full coverage needs updated KOT/audit rules for kitchen after changes."
27,"Discount/coupon before final confirm",true,"Covered in checkout. Order Summary may print before discount; final bill reflects checkout changes."
28,"Customer credit/debit sale",true,"Covered by checkout manual confirmation and credit handling. KOT + BILL opens checkout instead of auto-confirming."
29,"Multiple payment methods",true,"Covered by checkout payment split handling. KOT + BILL does not bypass payment selection."
30,"Tax/ZATCA/B2B invoice",partial,"Final bill print supports tax/ZATCA/B2B document data. Order Summary uses documentTitleOverride=Order Summary and should not be treated as final tax invoice."


